        Performance Table        
Elements [-]     Naive [µs]   Student [µs]
        1000           3660           9919
        2000          14440          20132
        3000          19556          33795
        4000          36148          48570
        5000          54588          65696
        6000          85429          79324
        7000         109405         106043
        8000         132230         140092
        9000         170380         165888
       10000         216156         183921
       11000         253271         205266
       12000         298866         229831
       13000         374006         294390
       14000         465663         347800
       15000         495036         395302
       16000         573209         470252
