          Ratios Table           
 Elements       Naive     Student
     1000       0.004       0.995
     2000       0.004       0.918
     3000       0.002       0.975
     4000       0.002       1.015
     5000       0.002       1.069
     6000       0.002       1.053
     7000       0.002       1.186
     8000       0.002       1.351
     9000       0.002       1.403
    10000       0.002       1.384
    11000       0.002       1.390
    12000       0.002       1.413
    13000       0.002       1.657
    14000       0.002       1.804
    15000       0.002       1.900
    16000       0.002       2.104
